text,emotion
I just completed my whole pending work and now I am so tired but happy.,relief
My friend made a silly joke and I got slightly annoyed but couldn't stop laughing.,amusement
"I can't figure out why this keeps happening, yet I feel a little relieved.",confusion
"The sunset today is breathtaking, I really admire it.",admiration
"I got the promotion I worked so hard for, feeling proud!",pride
"I am scared walking alone at night, but I know I will be safe.",fear
"I can't believe they did that to me, I feel so angry!",anger
I proposed her but she rejected!,sad
I am grateful for all the help you gave me today.,gratitude
"Oops, I spilled coffee on my shirt in front of everyone.",embarressment
"I feel so caring towards my little brother, I want to help him always.",caring
"I'm curious how this gadget works, it looks complicated.",curosity
I saw the spoiled food and felt disgusted.,disgust
The movie made me laugh uncontrollably!,amusement
"I didn't get the grade I expected, I feel disappointed.",disappointment
I love spending time with you and sharing moments together.,love
"My team did an excellent job, I want to approve their efforts.",approval
"The assignment is okay, nothing special, just neutral feelings.",neutral
"I can't believe it happened, I'm so surprised!",surprise
"This gift is exactly what I wanted, I am excited!",excitement
I feel relieved after finishing my exams.,relief
"My pet did something adorable, it made me so happy!",joy
"The painting is so beautiful, I truly admire the artist.",admiration
I watched a hilarious video and couldn't stop laughing.,amusement
My colleague made a mistake and I am furious.,anger
The noise outside is really annoying me.,annoyance
I am grateful for your support and kindness.,gratitude
I feel embarrassed because I tripped on the stairs.,embarressment
I am curious to learn more about space exploration.,curosity
I smelled something rotten and felt disgusted.,disgust
I didn't understand the instructions properly.,confusion
I am happy that I finished my workout today.,joy
"The concert was amazing, I am excited for the next one!",excitement
I feel proud of myself for helping someone in need.,pride
I love the way we spend weekends together.,love
The sudden loud noise scared me.,fear
"I am feeling neutral, nothing much happened today.",neutral
"Wow, I never expected this to happen!",surprise
"My friend aced the test, I want to approve their hard work.",approval
I am relieved that the meeting is over.,relief
I am annoyed that the internet keeps disconnecting.,annoyance
Seeing the cute puppy filled me with joy.,joy
I am embarrassed because I forgot my lines.,embarressment
I feel admiration for my teacher's dedication.,admiration
I laughed so hard at that joke.,amusement
"I can't believe they lied to me, I feel angry.",anger
I am curious how this machine works.,curosity
The spoiled food made me feel disgusted.,disgust
I am disappointed with the results.,disappointment
I am excited to start my new job!,excitement
I feel proud of finishing this challenging project.,pride
I am scared of the thunderstorm outside.,fear
I am grateful for having supportive friends.,gratitude
I love the new song I just heard.,love
"I can't believe it, what a surprise!",surprise
"My friend is so caring, always looking out for me.",caring
I feel relieved after completing the difficult task.,relief
I feel neutral about the movie I watched.,neutral
The presentation was funny and made me laugh.,amusement
I am embarrassed I forgot the meeting time.,embarressment
"My team did an excellent job, I approve!",approval
The smell of garbage made me disgusted.,disgust
I feel admiration for their courage.,admiration
My pet's antics made me giggle.,amusement
I am disappointed that my plan failed.,disappointment
I feel proud of my achievements this year.,pride
I love spending quality time with family.,love
I am scared to speak in front of a large crowd.,fear
I am curious about this new recipe.,curosity
I feel relief that the exam is over.,relief
I feel joy seeing my friends after a long time.,joy
I am surprised by the unexpected gift.,surprise
I feel excited for the upcoming vacation!,excitement
I am annoyed at the constant traffic jam.,annoyance
I am grateful for the delicious meal.,gratitude
I feel embarrassed that I sent the wrong email.,embarressment
I want to approve the effort put in by my colleagues.,approval
I admire the dedication of the healthcare workers.,admiration
My cat's playful behavior made me laugh.,amusement
I feel angry that my plans were ruined.,anger
I am disappointed by the canceled event.,disappointment
I feel proud of helping a friend in need.,pride
I feel love for my family.,love
The loud noise outside made me scared.,fear
I am curious about the new technology.,curosity
I feel neutral about today's weather.,neutral
Wow! I did not see that coming!,surprise
I feel relieved that the heavy work is done.,relief
"My gift was exactly what I wanted, I am excited!",excitement
I just completed my whole pending work now I am so tired and want to rest.,relief
i am happy,joy
I just completed my whole pending work I just completed my whole pending,excitement
I just completed my whole pending work now I am so tired and want to rest,desire
"I can't believe they did that to me, I feel so frustrated",annoyance
"I can't believe they did that to me, I feel so angry",anger
i am so frustrated,anger
i am so frustred,disappointment
i am so angry today,anger
i feels so sad,sadness
